iter	Passed	Remaining
0	133	133089
1	134	67052
2	135	45067
3	136	34038
4	137	27411
5	138	23009
6	140	19874
7	141	17546
8	142	15720
9	144	14262
10	146	13168
11	147	12162
12	149	11324
13	150	10597
14	151	9961
15	152	9402
16	153	8903
17	155	8473
18	156	8073
19	157	7712
20	158	7403
21	159	7107
22	161	6840
23	162	6595
24	163	6383
25	164	6179
26	166	5990
27	167	5815
28	168	5647
29	169	5496
30	171	5350
31	172	5217
32	173	5089
33	174	4968
34	176	4852
35	177	4758
36	178	4658
37	180	4564
38	181	4472
39	182	4383
40	183	4301
41	185	4220
42	186	4149
43	187	4080
44	188	4010
45	190	3940
46	191	3884
47	192	3827
48	194	3769
49	195	3713
50	196	3659
51	197	3608
52	199	3559
53	200	3512
54	201	3469
55	203	3422
56	204	3385
57	205	3341
58	207	3306
59	208	3270
60	210	3234
61	211	3196
62	212	3159
63	213	3129
64	215	3099
65	216	3064
66	217	3029
67	218	2996
68	219	2964
69	220	2931
70	221	2902
71	223	2874
72	224	2848
73	225	2821
74	226	2794
75	227	2768
76	228	2744
77	230	2720
78	231	2696
79	232	2672
80	233	2648
81	234	2628
82	235	2601
83	236	2583
84	238	2563
85	239	2542
86	240	2524
87	241	2506
88	243	2487
89	244	2469
90	245	2451
91	246	2433
92	247	2415
93	248	2398
94	250	2382
95	251	2365
96	252	2350
97	253	2335
98	255	2322
99	256	2307
100	257	2291
101	258	2278
102	259	2264
103	261	2250
104	262	2236
105	263	2223
106	265	2211
107	266	2200
108	267	2187
109	268	2175
110	270	2163
111	271	2152
112	272	2140
113	274	2131
114	275	2119
115	276	2107
116	277	2094
117	278	2083
118	279	2071
119	280	2060
120	282	2050
121	283	2040
122	284	2031
123	286	2023
124	287	2013
125	288	2004
126	290	1994
127	291	1984
128	292	1974
129	293	1964
130	294	1954
131	295	1945
132	297	1936
133	298	1927
134	300	1923
135	301	1916
136	302	1908
137	304	1900
138	305	1892
139	306	1883
140	307	1875
141	308	1864
142	309	1857
143	311	1850
144	312	1843
145	313	1836
146	315	1828
147	316	1821
148	317	1815
149	319	1810
150	320	1803
151	321	1796
152	323	1788
153	324	1783
154	325	1776
155	327	1773
156	329	1767
157	330	1762
158	332	1756
159	333	1750
160	334	1741
161	335	1737
162	337	1732
163	338	1726
164	339	1720
165	341	1714
166	343	1715
167	345	1709
168	346	1703
169	348	1699
170	349	1694
171	350	1689
172	352	1683
173	353	1678
174	354	1672
175	356	1669
176	358	1664
177	359	1659
178	360	1654
179	361	1648
180	363	1643
181	364	1637
182	365	1633
183	367	1628
184	368	1624
185	369	1618
186	370	1612
187	372	1607
188	373	1602
189	374	1598
190	376	1594
191	377	1589
192	378	1583
193	379	1578
194	381	1573
195	382	1568
196	383	1563
197	384	1558
198	385	1552
199	386	1547
200	387	1542
201	389	1537
202	390	1533
203	391	1528
204	393	1524
205	394	1519
206	395	1514
207	396	1509
208	397	1505
209	398	1500
210	400	1496
211	401	1491
212	402	1488
213	404	1484
214	405	1479
215	406	1475
216	407	1470
217	408	1465
218	409	1461
219	410	1456
220	412	1452
221	413	1448
222	414	1444
223	415	1440
224	416	1435
225	417	1430
226	419	1426
227	420	1422
228	421	1419
229	422	1415
230	423	1411
231	425	1406
232	426	1404
233	427	1400
234	428	1395
235	429	1390
236	430	1386
237	431	1381
238	432	1377
239	433	1373
240	434	1369
241	436	1365
242	437	1361
243	438	1357
244	439	1353
245	440	1349
246	441	1346
247	442	1342
248	443	1337
249	444	1334
250	445	1330
251	447	1327
252	448	1323
253	449	1319
254	450	1316
255	451	1312
256	452	1309
257	454	1306
258	455	1304
259	457	1301
260	458	1298
261	459	1295
262	460	1291
263	462	1288
264	463	1284
265	464	1281
266	465	1278
267	466	1275
268	468	1272
269	469	1269
270	470	1265
271	471	1263
272	473	1260
273	474	1257
274	475	1254
275	476	1250
276	478	1248
277	479	1246
278	481	1243
279	482	1240
280	483	1237
281	485	1235
282	486	1233
283	487	1230
284	489	1227
285	490	1223
286	491	1220
287	492	1217
288	494	1215
289	495	1213
290	496	1210
291	498	1207
292	499	1205
293	501	1203
294	502	1200
295	503	1197
296	504	1195
297	506	1192
298	507	1189
299	508	1186
300	509	1184
301	511	1181
302	512	1179
303	514	1176
304	515	1174
305	516	1171
306	517	1168
307	519	1166
308	520	1163
309	521	1160
310	522	1157
311	523	1154
312	524	1151
313	526	1149
314	527	1146
315	528	1144
316	530	1142
317	531	1139
318	532	1136
319	533	1134
320	534	1131
321	536	1129
322	538	1127
323	539	1125
324	540	1123
325	542	1121
326	543	1118
327	544	1115
328	545	1113
329	547	1110
330	548	1107
331	549	1105
332	550	1102
